"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,,,,,,,
,"ITCER con USA","ITCER global","ITCER con la región CAPARD","ITCER con el resto del mundo","ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual","ITCER con USA, variación con el año base","ITCER global, variación con el año base","ITCER con la región CAPARD, variación con el año base","ITCER con el resto del mundo, variación con el año base"
2021-Marzo,52.69,52.25,57.05,50.54,-2.66,-2.13,-3.64,-1.60,-47.31,-47.75,-42.95,-49.46
2021-Abril,53.04,52.62,57.16,50.96,-0.90,0.85,-2.63,1.97,-46.96,-47.38,-42.84,-49.04
2021-Mayo,53.37,52.93,57.08,51.38,0.04,1.59,-2.26,2.85,-46.63,-47.07,-42.92,-48.62
2021-Junio,53.93,53.27,57.39,51.72,1.93,2.25,-0.51,3.14,-46.07,-46.73,-42.61,-48.28
2021-Julio,54.06,53.19,57.55,51.56,2.12,2.00,0.17,2.59,-45.94,-46.81,-42.45,-48.44
2021-Agosto,54.01,53.07,57.50,51.43,1.99,1.54,0.81,1.78,-45.99,-46.93,-42.50,-48.57
2021-Setiembre,54.00,53.09,57.36,51.48,1.28,0.46,0.12,0.57,-46.00,-46.91,-42.64,-48.52
2021-Octubre,54.26,53.08,57.39,51.45,2.51,0.90,0.82,0.91,-45.74,-46.92,-42.61,-48.55
2021-Noviembre,54.25,52.91,57.42,51.23,3.07,0.30,1.16,0.04,-45.75,-47.09,-42.58,-48.77
2021-Diciembre,54.29,52.95,57.45,51.27,2.86,-0.94,0.42,-1.35,-45.71,-47.05,-42.55,-48.73
