fecha,ipc,m1,m0,cpi,debt,exports,rev,hydro,imae,itcer,lendrate,deprate,tpm,banana
2015-05-01,2.55,11.094971135073806,11.21616791764577,0.03502708304532476,6.461904398027052,5.2781884777559185,-1.254567282972907,-41.561375546173274,2.16,-6.5,10.39,5.49,3.5,0
2015-06-01,2.39,13.690566045642072,12.469210130093344,0.17941077233718516,6.295072717551697,2.12029922353949,3.7478450679834903,-47.71942766367934,4.51,-7.82,10.51,5.49,3.25,0
2015-07-01,2.32,12.432812506834878,10.030716076194324,0.22543182246153037,6.229544802825693,1.7348120307395298,0.6343686444724383,-48.31185713235628,4.76,-8.23,10.55,5.48,3.25,0
2015-08-01,1.96,12.513940252094358,14.34411839200198,0.24101312842326195,5.7938946887389875,0.49078452675361817,-0.580589459610259,-62.408114444974494,5.23,-8.82,10.91,5.48,3.25,0
2015-09-01,1.88,11.238045694610754,7.837297218608264,0.0088425706673334,5.817641560948239,-8.119409654543919,-2.7291458807493285,-60.18669313965983,4.8,-7.19,11.05,5.49,3.25,0
2015-10-01,2.23,10.827579871889805,7.493024117874469,0.1275351999502128,5.606763825239902,-6.82815074164056,1.0884718645113978,-54.88160156251523,4.39,-5.54,10.65,5.49,3,0
2015-11-01,2.51,11.387200135925823,9.666051231284811,0.43536910873953616,4.990281582806055,-6.498348824913069,1.8002607404749682,-46.0168185409823,4.05,-5.78,10.35,5.5,3,0
2015-12-01,3.07,10.762442199900946,9.173606654143285,0.6366935496003201,6.205338853132503,-12.350527803412348,-0.2526233427136759,-34.00291716356798,2.61,-5.81,9.7,5.43,3,0
2016-01-01,4.38,5.878701699653988,13.31468893122114,1.2299080308038055,1.2315962355692989,-5.313877767284403,6.5937580405494245,-33.11219747675729,1.83,-6.59,8.34,5.5,3,-1.721422658591809
2016-02-01,4.27,8.133122701313411,11.151732748902532,0.8437083293303616,0.3501237502135268,-4.956438765351301,0.870062962663809,-42.98647516765324,2.15,-5.89,8.44,5.5,3,-1.990800118281122
2016-03-01,4.26,8.224223723272672,9.085422863243233,0.8876646705649804,0.3846389985039167,-6.8246881150230365,-0.6588755471714336,-31.235571888725524,1.08,-3.64,8.49,5.49,3,-1.5067412018382242
